subid,presentation.time,subjective.test,objective.test
1,1700,0,0.587301587
2,1700,1,0.640625
3,1700,0,0.5625
4,1700,0,0.611111111
5,1700,1,0.85483871
6,1700,0,0.46875
7,1700,0,0.523809524
8,1700,1,0.920634921
9,1700,0,0.4375
10,1700,1,0.629032258
11,2000,0,0.571428571
12,2000,1,0.984375
13,2000,0,0.62295082
14,2000,1,0.4375
15,2000,1,0.952380952
16,2000,0,0.359375
17,2000,0,0.484375
18,2000,1,0.796875
19,2000,1,0.825396825
20,2000,0,0.578125
21,2000,1,1
22,1700,0,0.666666667
23,1700,0,0.46875
24,1700,1,0.90625
25,1700,0,0.555555556
26,1700,1,0.65625
27,1700,1,0.515625
28,1700,1,0.578125
29,1700,0,0.53125
30,1700,1,0.96875
31,1700,1,0.777777778
32,2000,1,1
33,2000,0,0.921875
34,2000,1,0.616666667
35,2000,1,0.625
36,2000,0,0.546875
37,2000,1,0.515625
38,2000,0,0.532258065
39,2000,0,0.4375
40,2000,0,0.523809524
41,2000,0,0.40625
42,2000,1,0.625
