voicefil,pHN,pHP,pLN,pLP,cond,ptype,plev,vgender,vsex,voice,form_bmean,form_bvar,form_smean,form_svar,form_rmean,form_rvar,intense_bmean,intense_bvar,intense_smean,intense_svar,intense_rmean,intense_rvar,pitch_bmean,pitch_bvar,pitch_smean,pitch_svar,pitch_rmean,pitch_rvar,form_smeanMD,form_svarMD,intense_smeanMD,intense_svarMD,pitch_smeanMD,pitch_svarMD,pLNr,pLPr,newpster
m01_power.wav,4.2875,4.970454545,3.31,4.871363636,BP,BATNA,1,m,-1,1,1226.055039,63649.23696,1042.869962,38804.93761,1259.208907,68275.23613,57.96725453,147.3506124,65.49099021,157.3354322,58.70035143,174.0857333,103.7806115,418.5464689,116.027174,858.0678599,108.8287599,2481.725366,-85.50583795,-4042.194788,6.377090206,-35.57576777,-41.00872602,-655.9813401,4.69,3.128636364,4.269147727
m02_power.wav,4.515454545,4.916136364,3.522045455,4.705348837,SP,SENSE,1,m,-1,2,1256.022238,57104.67969,1083.029813,35609.35816,1277.910104,54611.71739,63.88399973,206.767478,65.47586904,300.9682296,63.89023073,271.3500336,117.8263408,372.5884406,145.6960287,1404.354463,133.1781929,1231.082125,-45.34598684,-7237.774241,6.36196904,108.0570296,-11.33987135,-109.6947367,4.477954545,3.294651163,4.301049154
m04_power.wav,3.753478261,4.130217391,3.601521739,4.260434783,NST,STATUS,-1,m,-1,4,1302.192607,63082.56857,1267.553623,71345.58644,1297.806593,74340.49653,58.7666329,171.0183382,60.70974876,201.1593872,59.75729362,198.7917441,95.97023975,257.1811445,102.1027965,449.8303663,107.596595,1744.493863,139.1778227,28498.45404,1.595848765,8.248187193,-54.93310349,-1064.218834,4.398478261,3.739565217,4.005434783
m05_power.wav,4.386136364,4.697045455,3.295454545,4.394318182,STP,STATUS,1,m,-1,5,1298.741598,68105.36998,1071.457828,38245.57579,1255.766713,67846.20803,50.7901126,200.8076101,60.07251424,203.6822446,57.49530895,202.3901527,114.0347402,604.9745902,122.4731636,478.0700701,115.0597531,946.264262,-56.91797249,-4601.55661,0.95861424,10.77104457,-34.56273641,-1035.97913,4.704545455,3.605681818,4.348352273
m07_power.wav,3.217173913,3.717173913,3.680652174,4.079782609,IP,INFO,1,m,-1,7,1380.403961,82295.8638,1060.095415,38854.92309,1309.763798,88947.48454,50.07687731,170.7581285,60.54899645,126.9473748,57.86092888,180.5715687,105.1041289,529.8673487,106.3061345,313.2982175,114.7134307,2267.289555,-68.28038534,-3992.209312,1.435096453,-65.96382518,-50.72976546,-1200.750983,4.319347826,3.920217391,3.793478261
m08_power.wav,3.7575,3.939090909,3.719772727,4.219772727,NB,BATNA,-1,m,-1,8,1206.85887,59543.74714,1050.989236,28190.62536,1222.502296,52681.60884,54.53879541,205.4408801,57.25818276,206.6387985,57.31951186,195.6998271,99.95154094,2573.407138,104.6708708,1119.727445,101.0889908,2897.69537,-77.38656404,-14656.50704,-1.855717238,13.72759847,-52.36502922,-394.3217549,4.280227273,3.780227273,3.939261364
m09_power.wav,3.068636364,3.560681818,3.469545455,3.871363636,BP,BATNA,1,m,-1,9,1324.102608,72454.83545,1037.920552,34105.08893,1255.951554,68508.02735,50.15041765,194.8720484,57.88633184,198.8997879,58.10657227,201.9492426,146.2613613,347.2916378,160.969481,444.0030139,161.7961392,696.5094919,-90.45524787,-8742.043467,-1.227568162,5.988587928,3.933580959,-1070.046186,4.530454545,4.128636364,3.822102273
m10_power.wav,3.275,3.819347826,4.086956522,4.144782609,NB,BATNA,-1,m,-1,10,1310.343542,59306.91776,1345.907783,69259.57495,1314.233802,55400.37537,58.5750539,169.5193436,60.27861517,148.7901098,58.44742658,157.7607398,117.6980631,350.6229445,131.65943,639.6703105,118.3914458,184.717257,217.5319832,26412.44255,1.164715168,-44.12109019,-25.37647004,-874.3788895,3.913043478,3.855217391,3.715652174
m11_power.wav,4.000444444,4.200222222,3.548222222,4.355777778,NS,SENSE,-1,m,-1,11,1244.800461,78532.15124,1255.574259,81702.71433,1279.123543,79252.96801,63.29915559,118.7707231,63.38123417,159.1165851,63.43361984,161.5257673,137.4721264,433.9162729,145.6994198,813.4506935,144.3673237,886.7987128,127.1984591,38855.58193,4.267334168,-33.79461491,-11.33648018,-700.5985065,4.451777778,3.644222222,4.074166667
m12_power.wav,3.446818182,3.924545455,3.999772727,4.052954545,NI,INFO,-1,m,-1,12,1373.698518,74724.9741,1095.078738,35446.49927,1323.025115,74227.70922,51.84742855,163.0298928,60.5351792,155.8304482,57.54335266,146.4655324,91.06989155,298.1472534,109.995417,1104.433228,93.30792435,201.153131,-33.29706162,-7400.633134,1.421279198,-37.08075184,-47.04048303,-409.6159724,4.000227273,3.947045455,3.829659091
