voice,form_smean,form_svar,form_rmean,form_rvar,intense_smean,intense_svar,intense_rmean,intense_rvar,pitch_smean,pitch_svar,pitch_rmean,pitch_rvar,pow,age,sex,race,native,feelpower,plev,vsex,pitch_rmeanMD,pitch_rvarMD,intense_rmeanMD,intense_rvarMD,formant_rmeanMD,formant_rvarMD,pitch_smeanMD,pitch_svarMD,intense_smeanMD,intense_svarMD,formant_smeanMD,formant_svarMD,Zpitch_rmean,Zpitch_rvar,Zform_rmean,Zform_rvar,Zintense_rmean,Zintense_rvar,Zpitch_smean,Zpitch_svar,Zform_smean,Zform_svar,Zintense_smean,Zintense_svar
1,1042.869962,38804.93761,1259.208907,68275.23613,65.49099021,157.3354322,58.70035143,174.0857333,116.027174,858.0678599,108.8287599,2481.725366,1,19,M,X,Y,6,1,-1,-40.74124011,729.2753665,1.240351433,-8.664266701,-33.40109257,4144.636134,-41.05282602,-679.5721401,6.470990206,-32.79456777,-86.40003795,-4107.182388,-0.241662193,0.619236104,-0.601796115,-0.111501674,0.048116829,-0.02432724,-0.101164506,-0.228935587,-0.684036546,-0.280327014,1.593383697,-0.69721583
2,1083.029813,35609.35816,1277.910104,54611.71739,65.47586904,300.9682296,63.89023073,271.3500336,145.6960287,1404.354463,133.1781929,1231.082125,3,21,M,C,Y,5,1,-1,-16.39180709,-521.3678749,6.430230731,88.60003362,-14.69989565,-9518.882613,-11.38397135,-133.2855367,6.45586904,110.8382296,-46.24018684,-7302.761841,1.352744602,-0.194781907,-0.186358308,-1.125049004,1.355313574,1.652535431,1.683223582,0.43898776,-0.228418388,-0.485594048,1.589695991,1.679765895
3,1092.225925,25978.96309,1333.830754,55175.29165,53.59891308,71.17353531,53.01939099,87.359022,105.5063343,706.219256,108.2639546,228.7220765,3,18,M,A,Y,3,1,-1,-41.30604541,-1523.727924,-4.440609009,-95.390978,41.22075395,-8955.308346,-51.57366567,-831.420744,-5.421086923,-118.9564647,-37.04407459,-16933.15691,-0.278645782,-0.847197486,1.055891168,-1.08324358,-1.382770592,-1.519519045,-0.733924387,-0.414594959,-0.12408743,-1.104199424,-1.306822035,-2.123110598
4,1267.553623,71345.58644,1297.806593,74340.49653,60.70974876,201.1593872,59.75729362,198.7917441,102.1027965,449.8303663,107.596595,1744.493863,3,22,M,C,Y,6,1,-1,-41.973405,-7.956136751,2.297293615,16.04174406,5.196593107,10209.89653,-54.97720349,-1087.809634,1.689748765,11.02938719,138.2836227,28433.46644,-0.32234465,0.139387253,0.255632315,0.338413798,0.314333306,0.401611023,-0.938624987,-0.728071666,1.865025586,1.809911255,0.42734822,0.028027583
5,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,4,20,M,C,Y,6,1,-1,-34.51024691,-806.185738,0.035308954,19.64015271,-36.84328731,3715.608029,-34.60683641,-1059.56993,1.05251424,13.55224457,-57.81217249,-4666.54421,0.166344757,-0.380164007,-0.678262763,-0.143326586,-0.255402293,0.463648555,0.286519724,-0.69354408,-0.359703904,-0.316257443,0.271941288,0.069778394
6,1094.892145,40715.91723,1277.844136,76674.09743,60.0724431,150.4930403,58.36429566,149.6307961,137.1073832,622.8644356,126.8822931,420.3456699,1,21,M,A,N,4,1,-1,-22.68770687,-1332.10433,0.904295661,-33.11920386,-14.76586439,12543.49743,-19.97261683,-914.7755644,1.052443104,-39.63695972,-34.37785462,-2196.202774,0.940487553,-0.722473622,-0.187823771,0.511518179,-0.036526953,-0.445936928,1.166672577,-0.51650965,-0.093838856,-0.157575844,0.271923939,-0.810450696
7,1060.095415,38854.92309,1309.763798,88947.48454,60.54899645,126.9473748,57.86092888,180.5715687,106.3061345,313.2982175,114.7134307,2267.289555,2,18,M,C,Y,6,1,-1,-34.85656926,514.839555,0.400928882,-2.178431334,17.15379796,24816.88454,-50.77386546,-1224.341783,1.528996453,-63.18262518,-69.17458534,-4057.196912,0.143667485,0.479664237,0.521255686,1.421946816,-0.163312063,0.087490304,-0.685821621,-0.895004205,-0.488611793,-0.277116213,0.388144406,-1.200108333
8,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,1,18,M,C,Y,2,-1,-1,-48.48100925,1145.24537,-0.140488137,12.94982712,-70.10770393,-11448.99116,-52.40912922,-417.9125549,-1.761817238,16.50879847,-78.28076404,-14721.49464,-0.748464159,0.88998244,-1.417215269,-1.268222692,-0.299681046,0.348305544,-0.78417207,0.090985394,-0.591922444,-0.962133999,-0.414409818,0.118706457
9,1037.920552,34105.08893,1255.951554,68508.02735,57.88633184,198.8997879,58.10657227,201.9492426,160.969481,444.0030139,161.7961392,696.5094919,1,23,M,A,N,5,1,-1,12.2261392,-1055.940508,0.646572269,19.19924259,-36.65844624,4377.427347,3.889480959,-1093.636986,-1.133668162,8.769787928,-91.34944787,-8807.031067,3.226654685,-0.54272426,-0.674156611,-0.094233434,-0.101440829,0.456047146,2.601822115,-0.735196542,-0.740188175,-0.582220305,-0.261218619,-0.009366566
10,1345.907783,69259.57495,1314.233802,55400.37537,60.27861517,148.7901098,58.44742658,157.7607398,131.65943,639.6703105,118.3914458,184.717257,1,19,M,A,N,3,-1,-1,-31.17855422,-1567.732743,0.987426584,-24.98926018,21.62380201,-8730.224634,-25.42057004,-897.9696895,1.258615168,-41.33989019,216.6377832,26347.45495,0.384504804,-0.875839319,0.620554608,-1.066547076,-0.015588417,-0.305774514,0.839013727,-0.495961762,2.753962604,1.675916967,0.322204592,-0.838632523
