pnum,voicefil,voice,ptype,plev,vsex,hilo_actual,accuracy,hilo_guess
1,f104_power.wav,104,INFO,-1,1,lo,1,0
1,f105_power.wav,105,INFO,1,1,hi,1,1
1,f110_power.wav,110,SENSE,1,1,hi,0,0
1,f111_power.wav,111,INFO,1,1,hi,1,1
1,f114_power.wav,114,STATUS,1,1,hi,1,1
1,f116_power.wav,116,BATNA,-1,1,lo,0,1
1,f119_power.wav,119,STATUS,1,1,hi,0,0
1,f125_power.wav,125,BATNA,1,1,hi,0,0
1,f126_power.wav,126,BATNA,1,1,hi,1,1
1,f128_power.wav,128,SENSE,-1,1,lo,1,0
1,f130_power.wav,130,STATUS,1,1,hi,0,0
1,f131_power.wav,131,SENSE,-1,1,lo,1,0
1,f136_power.wav,136,STATUS,-1,1,lo,0,1
1,f139_power.wav,139,SENSE,-1,1,lo,1,0
1,f140_power.wav,140,BATNA,1,1,hi,1,1
1,f144_power.wav,144,INFO,-1,1,lo,1,0
1,f145_power.wav,145,SENSE,-1,1,lo,0,1
1,f146_power.wav,146,SENSE,1,1,hi,1,1
1,f148_power.wav,148,BATNA,-1,1,lo,1,0
1,f154_power.wav,154,STATUS,1,1,hi,1,1
1,f155_power.wav,155,STATUS,-1,1,lo,0,1
1,f161_power.wav,161,INFO,-1,1,lo,1,0
1,f163_power.wav,163,SENSE,-1,1,lo,0,1
1,f165_power.wav,165,INFO,1,1,hi,0,0
1,f167_power.wav,167,SENSE,-1,1,lo,1,0
1,f170_power.wav,170,INFO,1,1,hi,1,1
1,f174_power.wav,174,INFO,-1,1,lo,1,0
1,f177_power.wav,177,INFO,1,1,hi,1,1
1,f178_power.wav,178,BATNA,-1,1,lo,1,0
1,f180_power.wav,180,INFO,1,1,hi,1,1
1,m05_power.wav,5,STATUS,1,-1,hi,1,1
1,m08_power.wav,8,BATNA,-1,-1,lo,1,0
1,m14_power.wav,14,STATUS,-1,-1,lo,1,0
1,m15_power.wav,15,STATUS,-1,-1,lo,1,0
1,m16_power.wav,16,SENSE,1,-1,hi,1,1
1,m24_power.wav,24,BATNA,-1,-1,lo,0,1
1,m26_power.wav,26,INFO,-1,-1,lo,1,0
1,m29_power.wav,29,SENSE,-1,-1,lo,1,0
1,m32_power.wav,32,STATUS,1,-1,hi,1,1
1,m37_power.wav,37,SENSE,1,-1,hi,1,1
1,m40_power.wav,40,BATNA,1,-1,hi,1,1
1,m41_power.wav,41,SENSE,-1,-1,lo,0,1
1,m45_power.wav,45,SENSE,-1,-1,lo,0,1
1,m47_power.wav,47,SENSE,1,-1,hi,1,1
1,m48_power.wav,48,SENSE,-1,-1,lo,1,0
1,m50_power.wav,50,STATUS,-1,-1,lo,1,0
1,m52_power.wav,52,BATNA,-1,-1,lo,0,1
1,m53_power.wav,53,INFO,1,-1,hi,1,1
1,m54_power.wav,54,INFO,-1,-1,lo,0,1
1,m55_power.wav,55,SENSE,1,-1,hi,1,1
1,m57_power.wav,57,INFO,1,-1,hi,1,1
1,m61_power.wav,61,INFO,1,-1,hi,0,0
1,m66_power.wav,66,SENSE,1,-1,hi,1,1
1,m68_power.wav,68,BATNA,1,-1,hi,1,1
1,m69_power.wav,69,SENSE,1,-1,hi,0,0
1,m71_power.wav,71,INFO,1,-1,hi,1,1
1,m74_power.wav,74,BATNA,-1,-1,lo,1,0
1,m75_power.wav,75,INFO,-1,-1,lo,0,1
1,m77_power.wav,77,STATUS,-1,-1,lo,0,1
1,m81_power.wav,81,BATNA,1,-1,hi,1,1
2,f104_power.wav,104,INFO,-1,1,lo,0,1
2,f105_power.wav,105,INFO,1,1,hi,1,1
2,f110_power.wav,110,SENSE,1,1,hi,0,0
2,f111_power.wav,111,INFO,1,1,hi,1,1
2,f114_power.wav,114,STATUS,1,1,hi,0,0
2,f116_power.wav,116,BATNA,-1,1,lo,0,1
2,f119_power.wav,119,STATUS,1,1,hi,0,0
2,f125_power.wav,125,BATNA,1,1,hi,0,0
2,f126_power.wav,126,BATNA,1,1,hi,1,1
2,f128_power.wav,128,SENSE,-1,1,lo,1,0
2,f130_power.wav,130,STATUS,1,1,hi,0,0
2,f131_power.wav,131,SENSE,-1,1,lo,1,0
