pnum,voicefil,voice,HNDE,HNEX,HNIN,HPEF,HPFO,HPRE,LNEY,LNSP,LNSW,LPAT,LPFO,LPGR,HN,HP,LN,LP,form_smean,form_svar,form_rmean,form_rvar,intense_smean,intense_svar,intense_rmean,intense_rvar,pitch_smean,pitch_svar,pitch_rmean,pitch_rvar,ptype,hilo_actual,form_smeanMD,form_svarMD,intense_smeanMD,intense_svarMD,pitch_smeanMD,pitch_svarMD,LPr,LNr,newpster,vsex,feelpower,Zsub_form_smean,Zsub_form_svar,Zsub_form_rmean,Zsub_form_rvar,Zsub_intense_smean,Zsub_intense_svar,Zsub_intense_rmean,Zsub_intense_rvar,Zsub_pitch_smean,Zsub_pitch_svar,Zsub_pitch_rmean,Zsub_pitch_rvar
1,m05_power.wav,5,2,2,4,6,5,2,2,3,6,6,3,6,2.67,4.33,3.67,5,1071.457828,38245.57579,1255.766713,67846.20803,60.072514,203.682245,57.495309,202.390153,122.473164,478.07007,115.059753,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3,4.33,3.5825,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
2,m05_power.wav,5,4,5,3,4,5,4,2,3,3,5,4,5,4,4.33,2.67,4.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3.33,5.33,4.2475,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
3,m05_power.wav,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3,3,4,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
5,m05_power.wav,5,5,6,5,6,6,5,2,2,2,6,6,6,5.33,5.67,2,6,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,2,6,4.75,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
6,m05_power.wav,5,5,5,6,4,4,5,3,4,5,4,4,6,5.33,4.33,4,4.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3.33,4,4.2475,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
7,m05_power.wav,5,5,6,2,5,4,5,5,2,3,5,5,5,4.33,4.67,3.33,5,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3,4.67,4.1675,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
9,m05_power.wav,5,4,5,3,2,4,3,3,5,6,4,2,4,4,3,4.67,3.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,4.67,3.33,3.75,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
10,m05_power.wav,5,6,6,6,6,6,6,6,2,3,6,6,4,6,6,3.67,5.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,2.67,4.33,4.75,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
11,m05_power.wav,5,1,7,7,7,7,7,1,1,1,4,7,2,5,7,1,4.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3.67,7,5.6675,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
13,m05_power.wav,5,2,4,3,5,7,6,1,1,3,5,6,6,3,6,1.67,5.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,2.33,6.33,4.415,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
14,m05_power.wav,5,4,5,1,5,7,7,1,2,4,5,7,7,3.33,6.33,2.33,6.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,1.67,5.67,4.25,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
15,m05_power.wav,5,7,1,7,1,1,1,1,1,7,1,1,1,5,1,3,1,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,7,5,4.5,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
16,m05_power.wav,5,6,1,4,6,6,1,1,2,1,7,6,6,3.67,4.33,1.33,6.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,1.67,6.67,4.085,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
18,m05_power.wav,5,5,5,5,6,7,6,2,6,2,4,6,6,5,6.33,3.33,5.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,2.67,4.67,4.6675,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
19,m05_power.wav,5,4,4,5,6,7,3,1,1,5,7,7,7,4.33,5.33,2.33,7,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,1,5.67,4.0825,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
23,m05_power.wav,5,7,7,7,7,7,1,1,1,1,1,7,1,7,5,1,3,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,5,7,6,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
24,m05_power.wav,5,3,4,2,7,6,5,1,2,2,5,2,6,3,6,1.67,4.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3.67,6.33,4.75,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
26,m05_power.wav,5,5,5,4,3,4,3,4,4,4,5,3,3,4.67,3.33,4,3.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,4.33,4,4.0825,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
27,m05_power.wav,5,5,5,4,5,5,6,1,3,3,4,4,4,4.67,5.33,2.33,4,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,4,5.67,4.9175,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
28,m05_power.wav,5,7,6,2,7,7,7,2,2,1,6,7,7,5,7,1.67,6.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,1.33,6.33,4.915,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
